template,activity_a,activity_b,support,confidence
response,grasp,drop,10,10
response,hold,drop,10,10
response,lower,drop,5,5
response,pick,hold,9,9
response,grasp,hold,10,10
response,lower,hold,5,4
response,shake,drop,10,10
response,grasp,pick,10,7
response,shake,hold,10,10
response,pick,drop,9,9
responded_existence,pick,drop,9,9
responded_existence,grasp,drop,10,10
responded_existence,hold,drop,10,10
responded_existence,lower,drop,5,5
responded_existence,shake,hold,10,10
responded_existence,pick,shake,9,9
responded_existence,lower,grasp,5,5
responded_existence,pick,hold,9,9
responded_existence,drop,grasp,10,10
responded_existence,grasp,hold,10,10
responded_existence,hold,grasp,10,10
responded_existence,hold,pick,10,9
responded_existence,shake,pick,10,9
responded_existence,lower,hold,5,5
responded_existence,grasp,shake,10,10
responded_existence,hold,shake,10,10
responded_existence,grasp,pick,10,9
responded_existence,lower,shake,5,5
responded_existence,pick,grasp,9,9
responded_existence,drop,shake,10,10
responded_existence,lower,pick,5,4
responded_existence,shake,drop,10,10
responded_existence,drop,hold,10,10
responded_existence,drop,pick,10,9
responded_existence,shake,grasp,10,10
precedence,pick,lower,4,4
precedence,shake,drop,10,10
precedence,grasp,lower,5,5
precedence,pick,drop,9,9
precedence,grasp,drop,10,10
precedence,hold,lower,5,5
precedence,pick,shake,9,8
precedence,pick,hold,9,8
precedence,hold,drop,10,10
precedence,lower,drop,5,5
precedence,grasp,hold,10,10
precedence,grasp,shake,10,10
precedence,hold,shake,10,10
precedence,shake,lower,5,5
precedence,grasp,pick,9,9
existence,shake,,10,10
existence,hold,,10,10
existence,pick,,10,9
existence,grasp,,10,10
existence,drop,,10,10
altresponse,lower,drop,5,5
init,grasp,,10,10
altprecedence,lower,drop,5,5
exactly_one,lower,,5,5
exactly_one,drop,,10,10
succession,pick,hold,9,8
succession,pick,drop,9,9
succession,shake,drop,10,10
succession,hold,drop,10,10
succession,lower,drop,5,5
succession,grasp,pick,10,7
succession,grasp,hold,10,10
succession,grasp,drop,10,10
altsuccession,lower,drop,5,5
coexistence,pick,shake,10,9
coexistence,pick,hold,10,9
coexistence,pick,drop,10,9
coexistence,pick,grasp,10,9
coexistence,shake,pick,10,9
coexistence,shake,hold,10,10
coexistence,shake,drop,10,10
coexistence,shake,grasp,10,10
coexistence,hold,pick,10,9
coexistence,hold,shake,10,10
coexistence,hold,drop,10,10
coexistence,hold,grasp,10,10
coexistence,drop,pick,10,9
coexistence,drop,shake,10,10
coexistence,drop,hold,10,10
coexistence,drop,grasp,10,10
coexistence,grasp,pick,10,9
coexistence,grasp,shake,10,10
coexistence,grasp,hold,10,10
coexistence,grasp,drop,10,10
