activity,timestamp,case_id
grasp,0.0,trial_0_20220104_50g
pick,7.0,trial_0_20220104_50g
hold,8.0,trial_0_20220104_50g
shake,16.0,trial_0_20220104_50g
hold,18.0,trial_0_20220104_50g
shake,21.0,trial_0_20220104_50g
hold,25.0,trial_0_20220104_50g
drop,32.0,trial_0_20220104_50g
grasp,0.0,trial_0_20220104_100g
pick,7.0,trial_0_20220104_100g
hold,8.0,trial_0_20220104_100g
shake,15.0,trial_0_20220104_100g
hold,18.0,trial_0_20220104_100g
shake,21.0,trial_0_20220104_100g
hold,23.0,trial_0_20220104_100g
shake,24.0,trial_0_20220104_100g
hold,26.0,trial_0_20220104_100g
shake,27.0,trial_0_20220104_100g
hold,29.0,trial_0_20220104_100g
drop,35.0,trial_0_20220104_100g
grasp,0.0,trial_1_20220106_50g
pick,1.0,trial_1_20220106_50g
hold,2.0,trial_1_20220106_50g
shake,13.0,trial_1_20220106_50g
grasp,25.0,trial_1_20220106_50g
pick,26.0,trial_1_20220106_50g
hold,27.0,trial_1_20220106_50g
lower,28.0,trial_1_20220106_50g
hold,29.0,trial_1_20220106_50g
drop,33.0,trial_1_20220106_50g
grasp,0.0,trial_1_20220106_100g
pick,6.0,trial_1_20220106_100g
hold,7.0,trial_1_20220106_100g
grasp,16.0,trial_1_20220106_100g
pick,17.0,trial_1_20220106_100g
hold,18.0,trial_1_20220106_100g
shake,20.0,trial_1_20220106_100g
pick,30.0,trial_1_20220106_100g
hold,31.0,trial_1_20220106_100g
lower,34.0,trial_1_20220106_100g
drop,36.0,trial_1_20220106_100g
grasp,0.0,trial_2_20220112_50g
pick,6.0,trial_2_20220112_50g
hold,7.0,trial_2_20220112_50g
shake,13.0,trial_2_20220112_50g
hold,16.0,trial_2_20220112_50g
shake,18.0,trial_2_20220112_50g
hold,20.0,trial_2_20220112_50g
shake,21.0,trial_2_20220112_50g
hold,25.0,trial_2_20220112_50g
shake,29.0,trial_2_20220112_50g
hold,32.0,trial_2_20220112_50g
grasp,35.0,trial_2_20220112_50g
hold,36.0,trial_2_20220112_50g
drop,40.0,trial_2_20220112_50g
grasp,0.0,trial_2_20220112_100g
pick,5.0,trial_2_20220112_100g
hold,6.0,trial_2_20220112_100g
shake,14.0,trial_2_20220112_100g
hold,16.0,trial_2_20220112_100g
shake,19.0,trial_2_20220112_100g
hold,25.0,trial_2_20220112_100g
pick,26.0,trial_2_20220112_100g
lower,27.0,trial_2_20220112_100g
hold,28.0,trial_2_20220112_100g
drop,32.0,trial_2_20220112_100g
grasp,0.0,trial_3_20220118_50g
pick,5.0,trial_3_20220118_50g
hold,6.0,trial_3_20220118_50g
shake,15.0,trial_3_20220118_50g
hold,29.0,trial_3_20220118_50g
shake,31.0,trial_3_20220118_50g
grasp,33.0,trial_3_20220118_50g
pick,34.0,trial_3_20220118_50g
hold,35.0,trial_3_20220118_50g
shake,36.0,trial_3_20220118_50g
hold,42.0,trial_3_20220118_50g
pick,44.0,trial_3_20220118_50g
hold,45.0,trial_3_20220118_50g
drop,52.0,trial_3_20220118_50g
grasp,0.0,trial_3_20220118_100g
pick,1.0,trial_3_20220118_100g
hold,2.0,trial_3_20220118_100g
shake,13.0,trial_3_20220118_100g
hold,27.0,trial_3_20220118_100g
shake,29.0,trial_3_20220118_100g
hold,32.0,trial_3_20220118_100g
pick,34.0,trial_3_20220118_100g
lower,35.0,trial_3_20220118_100g
hold,36.0,trial_3_20220118_100g
drop,41.0,trial_3_20220118_100g
grasp,0.0,trial_4_20220124_50g
hold,4.0,trial_4_20220124_50g
shake,13.0,trial_4_20220124_50g
hold,15.0,trial_4_20220124_50g
shake,16.0,trial_4_20220124_50g
hold,23.0,trial_4_20220124_50g
shake,24.0,trial_4_20220124_50g
hold,31.0,trial_4_20220124_50g
shake,33.0,trial_4_20220124_50g
hold,35.0,trial_4_20220124_50g
lower,37.0,trial_4_20220124_50g
grasp,39.0,trial_4_20220124_50g
hold,40.0,trial_4_20220124_50g
drop,42.0,trial_4_20220124_50g
grasp,0.0,trial_4_20220124_100g
hold,3.0,trial_4_20220124_100g
shake,13.0,trial_4_20220124_100g
hold,18.0,trial_4_20220124_100g
shake,19.0,trial_4_20220124_100g
pick,23.0,trial_4_20220124_100g
hold,24.0,trial_4_20220124_100g
shake,25.0,trial_4_20220124_100g
hold,29.0,trial_4_20220124_100g
grasp,32.0,trial_4_20220124_100g
hold,33.0,trial_4_20220124_100g
drop,36.0,trial_4_20220124_100g
