activity_a,activity_b,template,support,confidence
grasp,shake,coexistence,10,10
hold,shake,coexistence,10,10
lower,drop,responded_existence,5,5
lower,grasp,responded_existence,5,5
lower,hold,responded_existence,5,5
lower,pick,responded_existence,5,4
lower,shake,responded_existence,5,5
pick,shake,coexistence,10,9
shake,grasp,coexistence,10,10
shake,hold,coexistence,10,10
shake,pick,coexistence,10,9
grasp,lower,precedence,5,5
grasp,shake,precedence,10,10
hold,lower,precedence,5,5
hold,shake,precedence,10,10
pick,lower,precedence,4,4
pick,shake,precedence,9,8
shake,lower,precedence,5,5
lower,hold,response,5,4
shake,hold,response,10,10
grasp,drop,succession,10,10
grasp,hold,succession,10,10
grasp,pick,succession,10,7
hold,drop,succession,10,10
lower,drop,altsuccession,5,5
pick,drop,succession,9,9
pick,hold,succession,9,8
shake,drop,succession,10,10
grasp,,init,10,10
lower,,exactly_one,5,5
drop,,exactly_one,10,10
